undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.63700002,NAM,SubSaharian,4521.29,,6.5,3.05289626121521,,
0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.899999976158142,4.81274938583374,8.62710952758789,89.81745910644531
0.498,COM,SubSaharian,972.35999,0.7760000228881836,7.800000190734863,,4.868619918823242,43.93447113037109
0.875,CZE,EastEurope,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,
0.414,GIN,SubSaharian,993.83002,11.74499988555908,7.199999809265137,2.425785064697266,3.208169937133789,31.78817939758301
0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
,TUV,Pacific,3174.05,0.0109999999403954,,,,69.80497741699219
0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
0.47299999,MWI,SubSaharian,938.34998,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563
0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,,4.910830020904541,49.49629974365234
0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576904,88.56585693359375
0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562
0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723
,PRK,EastAsia,1727.8199,,4.199999809265137,,,76.20372772216797
0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
0.49900001,YEM,NorthAfrica,2170.9299,,7.5,1.896328449249268,,41.72175979614258
0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281
0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469727,,,
0.72899997,JAM,Caribbean,4668.77,2.799000024795532,7.800000190734863,3.711759328842163,6.024670124053955,73.51493835449219
0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,
0.76200002,ALB,EastEurope,8516.7002,,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656
0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,3.099999904632568,3.075769186019898,,83.57884979248047
0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586
0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.900000095367432,3.79865288734436,7.049990177154541,36.21157836914063
0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922
0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.040225982666016,6.573299884796143,99.42874908447266
0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,6.927239894866943,78.12113952636719
0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.5,3.615234136581421,5.052110195159912,96.77686309814452
0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265137,3.562078714370728,4.729380130767822,
0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.400000095367432,2.853689193725586,5.527379989624023,80.17756652832031
0.72299999,TUN,NorthAfrica,6912.2798,,5.5,3.721023797988892,6.250360012054443,
0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063
0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
,MCO,WesternDem,108481.13,,,,1.021950006484985,
0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.899999976158142,5.328890800476074,6.585140228271484,95.2855987548828
,SMR,WesternDem,42664.211,0.034000001847744,,,2.383729934692383,
0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.083879947662354,84.60346984863281
0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328
0.55299997,SYR,NorthAfrica,4284.4199,,7.400000095367432,3.24616551399231,,46.6161994934082
